smiles	name
C#CC[C@]1(CCCO1)C(=O)[O-]	EN300-2009807_i001
C#CC[C@@]1(CCCO1)C(=O)[O-]	EN300-2009807_i002
C#Cc1cccc(c1)C(=O)[O-]	EN300-331732_i001
C#CCC1(CCCC1)C(=O)[O-]	EN300-1239500_i001
C#CCNC(=O)[C@H]1C[C@H]1C(=O)[O-]	EN300-2526719_i001
Cc1cc(c(n1CC#C)C)C(=O)[O-]	EN300-7426227_i001
c1ccc(c(c1)C#CC(=O)[O-])Cl	EN300-743597_i001
C#CC[C@]1(CCOC1)C(=O)[O-]	EN300-1245459_i001
C#CC[C@@]1(CCOC1)C(=O)[O-]	EN300-1245459_i002
c1ccc(cc1)C#CCCC(=O)[O-]	EN300-8131116_i001
c1ccc(cc1)OCC#CC(=O)[O-]	EN300-6499283_i001
c1cc(ccc1C#CC2CC2)C(=O)[O-]	EN300-6493538_i001
CCC1(COC1)C#CC(=O)[O-]	EN300-6480594_i001
C#C[C@H]1C[C@H]1C(=O)[O-]	EN300-254137_i001
C#CCC1(CC1)C(=O)[O-]	EN300-1245460_i001
c1ccc(cc1)C#CCCCC(=O)[O-]	EN300-7434781_i001
CN(CC#C)C(=O)[C@@H]1C[C@@H]1C(=O)[O-]	EN300-2557626_i001
Cc1ccc(cc1C#C)C(=O)[O-]	EN300-4283499_i001
c1ccc(cc1)CCC#CC(=O)[O-]	EN300-6763726_i001
C#Cc1ccnc(c1)C(=O)[O-]	EN300-151780_i001
c1cc(cc(c1)C(=O)[O-])C#CC2CC2	EN300-6493539_i001
Cn1cc(cn1)C#CC(=O)[O-]	EN300-1231224_i001
C#CC[N@H+]1CCCC[C@H]1C(=O)[O-]	EN300-7440394_i001
C#CC[N@@H+]1CCCC[C@H]1C(=O)[O-]	EN300-7440394_i002
C#CC[N@H+]1CCCC[C@@H]1C(=O)[O-]	EN300-7440394_i003
C#CC[N@@H+]1CCCC[C@@H]1C(=O)[O-]	EN300-7440394_i004
C#CCCCOCC(=O)[O-]	EN300-761318_i001
C1CC(=O)CCC1C#CC(=O)[O-]	EN300-381131_i001
C#CC[C@]1(CCC=CC1)C(=O)[O-]	EN300-1168547_i001
C#CC[C@@]1(CCC=CC1)C(=O)[O-]	EN300-1168547_i002
c1ccc(cc1)C#CCCCCC(=O)[O-]	EN300-7443015_i001
C#CC12CCC(CC1)(CC2)C(=O)[O-]	EN300-205953_i001
C#Cc1ccc(cc1)CCC(=O)[O-]	EN300-1854972_i001
C#Cc1ccccc1CC(=O)[O-]	EN300-214056_i001
C#CCNS(=O)(=O)c1ccc(cc1)C(=O)[O-]	EN300-16255_i001
C#Cc1ccc(cc1)OCC(=O)[O-]	EN300-1869156_i001
COc1cc(ccc1C(=O)[O-])C#C	EN300-27081439_i001
CC(C)[C@H](C#C)C(=O)[O-]	EN300-7502988_i001
CC(C)[C@@H](C#C)C(=O)[O-]	EN300-7502988_i002
C#CCC[C@H](C(=O)[O-])O	EN300-1231025_i001
C#CCC[C@@H](C(=O)[O-])O	EN300-1231025_i002
CC1([C@H]([C@H]1C(=O)[O-])C#C)C	EN300-7544045_i001
CC[C@](C)(CC#C)C(=O)[O-]	EN300-1245466_i001
CC[C@@](C)(CC#C)C(=O)[O-]	EN300-1245466_i002
C#CC(=O)N1CCC[C@@H]1C(=O)[O-]	EN300-2935301_i001
C#Cc1cc(cc(c1)I)C(=O)[O-]	EN300-23001138_i001
C[N@H+](CCC#C)CC(=O)[O-]	EN300-7501609_i001
C[N@@H+](CCC#C)CC(=O)[O-]	EN300-7501609_i002
CC1([C@H]([C@@H]1C(=O)[O-])C#C)C	EN300-6504480_i001
C[C@H](CC#C)C(=O)[O-]	EN300-7319404_i001
C#CCn1cccc1C(=O)[O-]	EN300-1246714_i001
C#Cc1cn[nH]c1C(=O)[O-]	EN300-7443126_i001
C#CCC[NH+]1CCC(CC1)C(=O)[O-]	EN300-26967566_i001
C#CCC[NH+]1CCC(CC1)C(=O)[O-]	EN300-26967566_i002
C#CC1(CC(C1)C(=O)[O-])O	EN300-26977786_i001
Cc1cc(ccc1C#C)C(=O)[O-]	EN300-3039557_i001
C#Cc1ccc(cc1Cl)C(=O)[O-]	EN300-3035928_i001
Cc1cc(cnc1C(=O)[O-])C#C	EN300-7931261_i001
C[C@@H](C(=O)[O-])OCCC#C	EN300-6976741_i001
C[C@H](C(=O)[O-])OCCC#C	EN300-6976741_i002
Cc1cc(ccc1C(=O)[O-])C#C	EN300-7850448_i001
c1cc(ccc1C#CC(=O)[O-])Br	EN300-110378_i001
C[C@@H](C(=O)[O-])[NH+]1CCC(CC1)(C#C)O	EN300-1165841_i001
C[C@@H](C(=O)[O-])[NH+]1CCC(CC1)(C#C)O	EN300-1165841_i002
C[C@H](C(=O)[O-])[NH+]1CCC(CC1)(C#C)O	EN300-1165841_i003
C[C@H](C(=O)[O-])[NH+]1CCC(CC1)(C#C)O	EN300-1165841_i004
C#CCn1c2ccccc2cc1C(=O)[O-]	EN300-1425687_i001
